Symbol	E2.5_wt_male_IB118	E2.5_wt_male_IB119	E2.5_wt_male_IB22	E2.5_wt_male_IB23	E2.5_wt_male_IB25	E2.5_wt_male_IB26	E2.5_wt_female_IB120	E2.5_wt_female_IB121	E2.5_wt_female_IB122	E2.5_wt_female_IB123	E2.5_wt_female_IB124	E2.5_wt_female_IB24	E2.5_KO_male_IB27	E2.5_KO_male_IB28	E2.5_KO_female_IB125	E2.5_KO_female_IB126	E2.5_KO_female_IB127	E2.5_KO_female_IB128	E2.5_KO_female_IB29	E2.5_KO_female_IB30
Adamts15	0	0	0	0	0	0	0	0.454246469	0.217373044	0.241647729	0.076025001	0.154162853	0	0.312688095	0	0	0.100758128	0.173976506	0	0
Adamts16	0	0	0	0	0	0.196606534	0.18843774	0	0	0	0	0	0	0	0	0	0	0	0	0
Adamts17	0.138184236	0	0	0	0	0.162202836	0	0.26798206	0.160298649	0.142559735	0.149502806	0	0	0.153724915	0	0	0.099070191	0.171061988	0.032464493	0
Adamts18	0.17159892	0	0	0	1.246898346	0	0.386113004	0.776494809	0.199060877	0.649119058	0	0	0.146533636	0	0	0.347119815	0	0	0	0
Adamts19	0	0.176253606	0	0	0	0	0	0	0	0	0	0	0	0.595889957	0	0	0	0	0	0
Adamts2	0.445395754	1.099170441	1.789441193	0.5637897	0	0.784218845	0.501090252	0.575840272	2.841712406	0.612665165	0	0	2.09185481	0.990973016	0.800509891	0.225242809	0.798308181	1.102734807	0.627837785	1.113532612
Adamts3	0	0	0	0.091745499	0.232349927	0.255231867	0	0	0.084078521	0.037387126	0.235247923	0	0	1.330403582	0	0	0	0.067293014	0	0
Adamts4	0	0	0	0	0	0	0	0	0.087706739	0.702008694	0	0	0.193689301	0.252329843	0	0	0	0	0	0
Adamts5	0	0	0	0	0	0	0	0	0.039751586	0	0	0	0.087786378	0.114364205	0	0	0.073703626	0	0	0
Adamts7	0	0	0	0	0	0.36585144	0	0	0.060259419	0	0	0	0	0	0	0.472858221	0.67036384	0.096458355	0	0
Adamts8	0	0	0	0	0	0	0	0.148280455	0	0	0	0	0	0	0	0	0	0.141978625	0	0
Adamts9	0	0	0	0	0	0	0	0.17844752	0.266854582	0.094929605	0	0	0	0.153546639	0	0	0.098955298	0.085431803	0	0
Adamtsl1	0.425111753	0	0.310535876	0	0.045426649	0.124750721	0.358702379	0.068701954	0.86300343	0.255834014	0	0	0	0	1.146080177	1.558640589	0.304780804	0.789385938	0.024968546	0
Adamtsl4	4.53718048	2.985889661	1.736073523	2.734877161	0.323223092	2.028881534	2.187656601	1.815666489	2.756962166	3.789256988	5.610077278	4.266025169	1.475976772	0	2.32990729	0.655575739	2.633299035	3.209541686	1.065948398	0.581712386
Adamtsl5	3.239163136	4.476512649	4.732291463	3.553497209	2.838273605	3.041744633	3.644204187	7.538089464	5.010059905	6.349284695	3.15403256	1.065953412	1.659613073	5.405176012	0.582174865	0	4.18013035	6.816740429	3.120087719	4.235993152
Adap1	1.389100056	0	2.790454149	1.172231356	3.11716943	3.668732012	0	1.122456469	1.342838065	1.074813644	0.375720057	2.666586804	0.593097794	0.386330768	0	1.580596114	2.738739471	0	3.345087792	0
Adap2	2.608368061	0.514965137	1.905362186	1.760916106	1.560861921	0.612348716	4.108343906	3.37228938	1.210320045	1.793973375	12.13467561	1.716738995	6.236625709	4.64274271	0.937604103	0	6.358172247	4.84345364	0.735360412	1.00325743
Adar	3.862751654	6.400524626	2.821665027	3.725362506	3.272648145	2.42901366	5.587417686	3.745536312	3.680763832	4.127386434	1.044786705	3.93456072	3.180718945	6.445755186	2.479473012	2.581340782	4.055151751	2.049344716	2.009465579	0.848989364
Adarb1	0.502404799	0.123986028	0.091749236	0.105992124	0	0.884596019	0.141306998	0.568352525	0.145701878	0.561505823	0.067944551	0	0.429019029	1.676720965	0.677229196	0.190554806	0.540293244	0.155485109	0.029508281	0.144930087
Adarb2	0	0.150733014	0.223083828	0	0	0	0	0	0	0.105021095	0	0	0	0	0	0	0	0.283540889	0	0
Adat1	3.428447566	0	0.385294512	2.225532623	0.450901549	4.333932445	2.670339934	3.239169884	4.385031539	2.811466916	2.853284001	2.314346038	6.530928559	4.694181771	1.421988368	1.06696214	0.945384902	6.203014195	3.407744105	3.144556226
Adat2	8.600613475	4.528007288	4.607226086	14.99959974	9.680612649	2.692142876	2.580287177	4.077151241	0.221711529	6.309650059	11.78643903	4.40271283	5.385842288	19.13573669	4.122102552	5.219339403	11.09906599	5.678363268	2.290009155	5.292890678
