Symbol	E2.5_WT_male_XK122	E2.5_WT_male_XK126	E2.5_WT_male_XK129	E2.5_WT_male_XK134	E2.5_WT_male_XK26	E2.5_WT_male_XK28	E2.5_WT_male_XK35	E2.5_WT_male_XK36	E2.5_Xist_female_XK124	E2.5_Xist_female_XK125	E2.5_Xist_female_XK128	E2.5_Xist_female_XK130	E2.5_Xist_female_XK131	E2.5_Xist_female_XK29	E2.5_Xist_female_XK30	E2.5_Xist_female_XK31	E2.5_Xist_female_XK32	E2.5_Xist_female_XK33	E2.5_Xist_female_XK34
1500004A13Rik	0	0	0.453980271	0.570015434	0	0.784541732	1.728909475	0.80645281	0.965023467	0	0.112646006	0	0	0.198196428	0	1.545161958	1.59329434	0.036759387	0
1500009L16Rik	81.7791113	155.0701476	103.0258923	169.7834413	105.2080182	127.173733	87.266954	136.0362288	85.05865555	77.03264197	324.5688065	278.5374868	122.845286	103.3702932	35.06874117	123.8260095	41.38222362	80.21865032	29.80465673
1500011B03Rik	8.422449013	27.70258871	7.263249236	3.568578509	0	2.073794786	2.834812181	6.64757799	7.384085067	8.729537491	12.92902798	10.37759523	5.363025015	4.715069087	5.506685005	2.149661777	1.662468419	3.451979159	11.98601138
1500011K16Rik	126.4198173	55.1076276	23.70008389	5.101321847	6.074242581	13.80838593	7.46009059	11.54768827	76.28841703	27.52713733	26.71516023	37.51106739	14.63605056	4.07962053	2.083729287	7.836060556	11.34246612	5.263617926	38.23837182
1500012F01Rik	201.7716732	112.46607	81.85383212	75.67997593	6.675082294	58.12511654	126.6137537	63.6479767	83.83456126	91.96003451	46.52921143	32.13880575	75.82358131	29.43292151	32.56666212	25.0737074	59.82920343	25.12543975	22.04367643
1600002H07Rik	17.0866062	15.43812413	15.11932956	13.513861	2.298745092	9.477054234	11.92020904	11.47157483	12.52879355	7.083838403	17.93116267	23.57936849	16.22102917	13.89507711	0.700950672	8.896470057	19.00946209	8.714873708	0
1600002K03Rik	112.4933858	73.10965049	35.42998716	60.37347798	11.35071597	27.40681854	93.62441279	28.0973238	157.7993724	68.58527919	58.39890822	32.47365205	48.18783948	32.04053805	40.38003468	68.3338184	15.34132636	52.25338447	24.98960554
1600010M07Rik	3.962835182	11.30686945	22.28753251	40.29713004	15.99419069	17.87141915	8.002822049	29.21866245	18.95059612	10.14750381	20.57234267	10.88155358	16.51647078	25.68767275	45.11288939	64.02380244	20.47956963	19.27367483	102.3366943
1600012H06Rik	4.428712758	5.896857894	12.55347694	3.0023019	31.28036568	4.201093826	2.6017883	6.636922275	10.16566085	5.832237312	9.93798547	14.03170078	10.15199619	15.39769063	17.03257994	0	7.342970994	6.486057857	0
1600014C10Rik	0	1.009424867	0.47753461	1.199180295	0.713943584	1.485444494	2.987720232	0.678635883	1.015092801	2.329513918	6.279998536	1.494545598	0.737256957	2.043100696	1.523907396	1.300264984	3.123381707	0.154666454	0
1600020E01Rik	10.75377301	7.670739627	24.99869138	9.112713695	7.233789622	11.14871051	19.41360062	6.876046394	0	20.9804484	0	10.60008112	0	11.19544974	0	17.8404566	5.017143711	10.18618278	0
1600029O15Rik	2.698846293	3.529360024	3.035736876	8.004478752	2.723167901	1.993548443	0.123868998	1.132466596	0.645304987	2.46816013	2.711723765	1.140117703	1.874727474	0.954235273	0.934164981	1.239887837	2.469850438	1.253619064	0.281029457
1700001C19Rik	4.066251758	3.545037359	2.439377239	2.297152703	0	1.580845057	0.622096106	1.70624548	1.296342833	2.974948368	2.950749943	1.71777312	1.412291227	0.718855473	0.312771507	1.556744238	3.940128194	0.296279438	0
1700001L05Rik	0.406647755	0.193376411	0.731853808	2.067552233	2.461874429	0.758847762	1.306474364	0.706912378	0.77784889	0	0.068098011	0.257680276	0	1.605533036	0	0.093409841	1.576138792	2.222219171	0
1700001O22Rik	0	0.729628282	3.451695795	1.300179767	0	1.908804993	2.535149159	1.379612153	0	0	0	0.324084369	2.664505029	0	0	4.11185305	0	0.7546187	0
1700007J10Rik	76.90254413	70.00556795	42.50960655	81.92419837	13.30209919	23.06383216	10.28625552	17.12242313	15.76089182	48.22576067	24.28469451	24.13334656	12.21019622	23.56514497	10.64746279	18.50624668	29.09721032	10.44625028	8.236616721
1700007K13Rik	191.280731	28.15466746	17.75906073	2.57286817	0	0.94431242	4.180578682	1.456028481	13.06742598	11.10672059	90.50378065	25.65264833	6.327205225	2.504867591	4.203742416	0	5.230271515	0	0
