Symbol	E3_wt_male_IB130	E3_wt_male_IB131	E3_wt_male_IB132	E3_wt_male_IB133	E3_wt_male_IB134	E3_wt_male_IB32	E3_wt_male_IB34	E3_wt_male_IB35	E3_wt_male_IB36	E3_wt_female_IB129	E3_wt_female_IB135	E3_wt_female_IB31	E3_wt_female_IB33	E3_KO_male_IB136	E3_KO_male_IB138	E3_KO_male_IB139	E3_KO_male_IB38	E3_KO_female_IB137	E3_KO_female_IB37	E3_KO_female_IB39	E3_KO_female_IB40	E3_KO_female_IB41
Miip	20.8072433	10.69190847	49.39902645	32.26311477	23.11650707	34.55454885	45.61639275	47.37390385	49.22019525	32.33881791	20.21544673	27.21397458	48.90770804	31.38275723	32.90816652	36.88271736	46.63427919	23.39528748	33.01490572	30.68106808	44.82122906	34.42175722
Mina	37.58038051	43.74801573	19.98469482	19.32923522	13.65153984	16.87740608	24.13147855	27.07435778	21.66497194	20.9645133	18.76019796	26.11369553	13.26243223	11.85492847	19.61912711	19.11949349	26.61433236	15.97788906	17.02125704	27.32202969	14.74482815	16.59420218
Mink1	0.318981801	2.715449478	1.572179008	0.508940382	0.559138514	1.187715942	1.831400514	1.108909057	2.135190579	0.494025062	0.977936226	0.5276029	0.63373506	0	0.636782132	0.806126647	0	1.212603454	1.996398641	0	1.073901356	0.254873928
Minos1	53.27035709	64.84355565	62.66202758	39.49520268	19.26547908	54.81048137	71.62939832	34.59389149	35.79050538	54.05620207	55.09657344	63.59105242	23.60621763	45.894583	46.54994869	37.23433782	41.70767652	32.37089287	34.70345537	32.25025345	49.81217001	53.16577038
Minpp1	10.34638603	11.6573033	15.79834802	17.15518389	11.20166442	3.021517914	14.62419138	13.2236029	16.66595958	15.78838267	11.89500351	17.83218947	7.859500428	13.61845658	15.49083773	9.536056546	16.1412654	11.56811657	19.04544485	5.899704768	6.439659176	4.376649543
Mios	14.4878652	4.186701957	6.080195747	5.49281877	3.017294984	5.34108762	6.954589991	4.114025659	4.451754971	5.498462933	0	1.220193624	3.419842436	2.980481791	9.87932063	8.700248065	3.356782341	10.36071002	0	6.674439217	3.932405756	0.687691694
Miox	0	0	3.001405351	0.809670516	4.002887041	0	4.855942039	1.32311809	0	0.58945636	0	3.597259776	0	0	1.519579902	5.386342689	0	0	0	0	0	7.906812427
Mipep	1.335341017	3.924521585	3.948930832	2.604014335	2.340699655	5.708694451	2.082319071	0.386848545	2.979488222	3.274519792	1.023474028	2.313858746	2.652980253	5.928567737	2.443591417	3.599633491	0.694416185	2.256121924	0	1.725923126	0.927669924	0.533484369
Mipol1	0	9.332256563	2.521469488	5.247266349	1.921606021	3.174775787	2.331119356	4.763771114	4.669678084	5.942401189	5.461461074	3.367421101	1.088986965	1.752148644	1.641334412	8.865397203	3.42050118	0	2.28702522	6.376063324	2.811965717	0
Mir1192	0	8.010095067	0	0	11.54551717	0	0	0	8.016188824	20.40201022	0	0	0	7.018248286	0	6.65820637	0	0	0	0	0	0
