Symbol	E4_WT_male_XK151	E4_WT_male_XK152	E4_WT_male_XK155	E4_WT_male_XK156	E4_WT_male_XK157	E4_WT_male_XK161	E4_WT_male_XK62	E4_WT_male_XK63	E4_WT_male_XK64	E4_WT_male_XK65	E4_WT_male_XK68	E4_WT_male_XK71	E4_Xist_female_XK150	E4_Xist_female_XK153	E4_Xist_female_XK154	E4_Xist_female_XK158	E4_Xist_female_XK159	E4_Xist_female_XK160
1700026D11Rik	2.066806279	1.420967735	2.811848628	0	2.914227991	1.08887442	1.464567622	0	0.661554469	0.59298039	0	0.370534024	0	0.356580644	0	1.617200702	0	2.812014001
1700028J19Rik	0	0.760463146	1.672027371	0	6.089926312	2.330943473	5.573664816	0.4233712	1.416183576	0	0	0	1.147786586	0	0.905772145	0.192329261	0	0.40131017
1700028K03Rik	0.215257906	0.739969057	0.366067597	0.086174443	0.216797779	0.212636789	2.160908821	0.463456761	0.516756811	1.543972918	0.481622396	0.675344675	0.558427166	0.557068193	0.165255385	0.28071913	0.046149398	0.658960428
1700029F12Rik	2.149841127	1.583631147	1.0445771	0	0.773292954	5.865355787	1.813580081	0	0.491523364	1.762296106	0	0.13765014	1.99184602	1.457132394	0	0.8010345	2.370378802	0.417855414
1700029I15Rik	0	4.959723923	0	0	7.749924987	1.266863508	0	2.761217664	4.618159078	8.27891852	6.456254065	0.862204172	1.247639814	0	5.907426021	5.644652451	4.124285462	3.271670135
1700029J07Rik	0	0.109813839	0.289736714	0.204617127	0.579123044	0	0.150911043	0	0.613507264	0.183304522	0.571794764	0	0	1.047162828	0	0.41659641	0.054789778	1.738522524
1700029P11Rik	38.29404508	19.68713331	8.915628762	10.67645812	11.36378161	8.105946979	8.479903739	15.70442546	7.66085243	5.395310832	4.589993124	7.968652616	19.07036951	7.521100618	18.89914809	11.37015279	6.15742931	2.791143584
1700030C10Rik	41.63223993	18.32566206	19.57067304	40.65044438	10.94272326	24.60830926	38.85521687	34.68819731	19.501275	20.10182884	18.17537881	24.84888426	17.12248144	28.73080282	20.26822791	25.42494654	23.59837674	9.8089377
1700030J22Rik	0	0.607653823	0.133604611	0	1.424254138	0	0.278354937	1.691489784	0.754408125	0.676209209	0	0.211270494	0.76428962	0	0.361882038	0.384205373	0	0.080167481
1700030K09Rik	1.009814127	0.495904274	3.434579834	0	1.598202495	0.475008567	1.874107476	1.242377293	1.616133681	0.413889073	0.645536734	0.969846472	1.122721613	2.551086941	1.328988301	2.257550877	1.051548349	2.159005723
1700034H15Rik	2.247426763	1.103676911	1.364990708	3.727390403	1.131751998	1.902909149	1.042746182	0.921671921	1.926879762	1.727147147	1.795870762	1.043263094	1.457581957	0.692397536	1.971850593	1.570115767	0.585077452	1.856496543
1700034J05Rik	0	0.295860293	0.780608255	0	1.386908896	1.473647522	0.81316865	0.247070607	0.550970142	0	0	0.308596183	0.223274775	1.113657099	0.528589742	0.673436084	0	0.936784998
1700034O15Rik	0	1.624237074	1.607041692	0	3.331108109	16.80261074	2.232098562	0	0	7.455868141	2.114328817	1.058847228	2.451502793	2.445536884	0.725473371	0	0	0.321427241
1700034P13Rik	4.452625628	0.805595497	0.531377909	0	1.888201269	2.777941669	2.214170059	0.336373236	0	0.336180984	2.097346256	0.105034243	0.607953002	1.718341596	0.719646276	0.764038931	0.100484599	1.115959238
1700037C18Rik	0.957475798	0.822853012	0.361840746	0	2.732254776	0.840726193	1.884668453	1.374316175	0	0	0	2.002640136	0.82796881	3.992110461	0	0	0	0.651351648
