Symbol	E4_wt_male_IB57	E4_wt_male_IB58	E4_wt_female_IB155	E4_wt_female_IB156	E4_wt_female_IB157	E4_wt_female_IB158	E4_wt_female_IB59	E4_KO_male_IB161	E4_KO_male_IB162	E4_KO_male_IB60	E4_KO_male_IB62	E4_KO_male_IB63	E4_KO_male_IB64	E4_KO_female_IB159	E4_KO_female_IB160	E4_KO_female_IB163	E4_KO_female_IB61
Terf2	1.758584962	0.661654222	0.968254356	0.630296882	0.781374418	1.386225414	2.776895343	3.354635877	0.472315322	0.928497656	0.366065645	1.356228483	2.132514636	3.071054292	1.45177535	0.750390194	0.420705525
Terf2ip	15.14928837	20.95685723	12.38512737	11.84656912	15.50199949	20.67810544	18.55728405	29.33628609	20.96022276	20.03669906	24.08099632	18.12665879	10.39139205	2.025303291	12.56042402	14.73058276	15.37521469
Tert	0	2.419241648	1.062084025	1.382752879	1.285641446	3.041117983	2.436794559	1.226573422	2.978991723	1.527711992	0	0	0.779722709	0.886488926	1.364966666	0.987729019	0.46147442
Tes	87.95445302	59.056839	66.30718435	80.50713416	55.31311746	21.02790583	57.26317534	57.86254637	50.15246016	69.06192432	98.02104701	90.16286931	59.34465705	50.74288749	58.725986	67.43899867	75.10127683
Tesc	10.52350682	18.4771507	11.58821614	10.05798591	7.793007064	10.27034522	22.15620531	18.40153104	20.25565876	17.28595848	2.920753066	8.656826565	29.06701964	30.30662842	16.54768506	8.980784549	11.74849208
Tesk1	2.282031176	0.915836673	0.251291427	0	1.419532834	0.822325983	4.035856845	0.870629947	0.490320713	0.642595615	0	0.844758007	1.475872928	0	0.215302753	0.778996229	0
Tesk2	14.71277883	19.13530779	15.00123627	7.812188925	10.89530242	7.363506084	20.65086946	15.59208645	24.58719037	28.57876178	10.20866775	19.16307906	36.1228661	9.015171353	13.36694929	13.95102085	18.25046098
Tespa1	0	0	0	0	0	0	0	0	0	0.34329931	0	0.601736321	0	0	0	0	0
Tet1	10.44205091	6.474331825	24.80579374	27.249128	32.89432598	9.406937413	10.81944052	5.222213428	7.153034774	5.988113165	1.758425259	4.41555326	7.303380557	6.987814114	30.10874916	29.59743121	12.79898419
Tet2	43.18981997	84.31862153	68.86222659	57.01698135	71.08332698	62.2535074	64.10699274	114.7137061	84.00180224	110.9130111	59.33636629	93.26290334	169.7768277	62.78658961	81.92104429	80.22821155	81.28061899
Tet3	1.666430982	3.1919083	1.00092606	0.86875323	3.096337632	2.934239468	5.358445546	0.626136153	1.342694672	1.49306555	1.009114025	0.560796623	0.73482395	0	1.357832694	1.034280707	0.724835578
Tex10	75.8264171	35.7099101	46.57717597	40.67313847	53.86006787	61.10706179	52.12899257	72.97834223	65.11330481	44.30158093	35.00389871	42.32669267	37.73889557	65.99529497	112.6632321	92.61956287	52.81555285
Tex101	0	0	0	0	0	0	0	0	0.421005925	1.103508599	0	0	0	0	0.739464864	0	0
Tex11	0	0	0	0	0	0	0	0	0	0	0	0.283623074	0	0.338020151	1.301161881	0.941558046	0
Tex12	0	0	0	0	0	0	0	0	2.876760099	0.942543001	3.344427944	0	4.329546191	0	12.63202539	7.312716625	2.562417119
Tex13	0.780808399	0	0.429903104	0	0.346928764	4.220444319	0	2.234177982	1.887363992	0.824502408	0	0.963460613	0.946832467	2.009430758	0.736669155	1.066149848	0
Tex14	0	0	0.372207433	0.48458586	0.600737533	0.30450287	0.426987426	0.537315945	0.544689336	0.237949686	0.140719588	0.208539552	0.136626944	0.74560828	0.637803573	0.346149715	0.323447496
Tex15	0	0.197153232	0.108191599	0	0.261929567	1.68171923	0.496459215	0.062473843	0.84441531	0.13833231	0.327229946	0	0	0	0.185393903	0.402469032	0.188036556
Tex16	0	0	0	0	0.18481905	0	0.525456833	0	0	0	0	0	0	0	0	0	0
Tex19.1	75.05638593	123.9197062	78.98845317	93.98346295	63.7431231	87.72974586	79.21193769	96.35672319	109.7230049	69.89289685	133.2956791	127.1978541	56.83680851	80.33761287	81.12171933	97.29613623	98.18816971
Tex19.2	7.26770046	2.83569175	2.667668526	4.630802898	0.717596545	3.637365664	5.100475416	3.594291764	7.157100731	1.989659444	9.413218827	5.480329721	0.652817693	0.296882802	7.6187289	24.25777504	5.409129783
Tex2	6.352007458	7.211611516	10.67607206	11.98227278	12.62618526	6.927039799	10.13572419	7.759094486	10.32580498	7.178164899	4.314641392	11.34434906	6.351300587	11.55355887	12.77439767	6.39085858	8.637658191
Tex21	0	0	0	0	0.32728545	0	0	0	0.989166842	0.518545726	0	0	0	0	0.694958508	0.251445952	1.409729257
Tex24	0	0	0	0	0	0.842337312	0	0	0	0	0.389268448	0	0	0	0	0	0
Tex261	44.31597819	30.21190234	38.16380537	22.80686352	37.86629636	22.52064694	22.96687252	21.31466575	21.97338216	16.39856279	24.59940994	24.53710212	24.34327545	25.06556583	13.40089351	25.98868574	22.83441445
Tex264	40.99286207	50.06968993	54.95339609	45.99331422	38.80362676	14.85198789	28.14339995	28.33225824	26.80631471	40.15009496	34.8741697	41.78529716	43.22540453	31.77991077	39.09591417	39.24225016	34.1102775
Tex9	2.296303782	0.575977893	2.739350145	0	1.020293628	2.413451519	0	0.851739744	3.597616073	1.481825191	3.505309622	2.125103533	1.392284573	0.984932936	1.624869979	3.266118078	1.831145891
Tfam	13.91584708	13.96195111	18.80645032	13.90481896	22.67132545	9.877146701	12.25207617	10.59140514	11.2124258	12.61655633	12.64019627	12.22793324	11.93166794	12.24766584	15.31737862	16.6981162	11.70222805
