Symbol	troph_wt_male_IB178	troph_wt_male_IB179	troph_wt_male_IB182	troph_wt_male_IB82	troph_wt_male_IB83	troph_wt_female_IB180	troph_wt_female_IB181	troph_wt_female_IB84	troph_KO_male_IB183	troph_KO_male_IB184	troph_KO_male_IB190	troph_KO_male_IB85	troph_KO_male_IB86	troph_KO_male_IB88	troph_KO_male_IB90	troph_KO_male_IB91	troph_KO_male_IB93	troph_KO_female_IB186	troph_KO_female_IB187	troph_KO_female_IB189	troph_KO_female_IB191	troph_KO_female_IB87	troph_KO_female_IB94
Bcap31	293.0261635	300.051076	394.3141737	107.1646715	76.82027453	594.3486577	318.0857848	211.6104326	66.13147955	153.7343201	344.8863072	321.042909	969.6993281	280.9720698	774.4522671	1113.769575	178.5771607	218.8550179	1417.752627	577.4092164	523.2019811	1184.087566	185.0236083
Bcar1	26.68162428	22.91345883	12.77089339	19.83804684	10.15769325	15.19672465	16.28107406	23.76053627	12.24208847	19.79749548	25.4452563	6.920005217	0	34.81336355	2.621796524	6.325021867	13.13833342	18.84366275	18.78537166	11.439572	22.11517251	3.591728814	13.70043675
Bcar3	19.38365084	11.79038806	12.68962407	14.78385354	17.15819076	9.06001093	12.40272487	8.295171005	12.16418427	8.606286245	15.62969611	23.66142212	0	5.765303994	0.947313587	4.888155788	17.68704792	3.744749707	8.656616062	9.235504463	9.531082232	4.758496477	3.403313037
Bcas1	0	0	0	1.754286828	0	0	1.151793783	0	0	1.313025641	0	0	0	1.319383022	0	0.559324345	0	0	0.577808111	0	1.979216105	5.505380229	1.817303078
Bcas2	39.13636237	40.82914966	33.70375986	26.85436949	35.35783033	45.13975722	52.89447883	71.53111695	49.06995777	25.84235178	44.01769043	801.5093666	637.6755243	96.17583247	1197.466724	285.4018772	36.38979125	56.84704969	39.1707282	31.52409657	59.97679135	229.6740692	57.62509867
Bcas3	4.853780008	5.321154349	5.390109336	1.482698659	6.377175416	1.63555996	8.761319778	5.183609217	5.988930986	1.109750883	5.809080643	0	0	7.434160355	1.496371982	4.727331031	1.520455823	4.225134721	5.371908559	7.694958272	5.974306195	7.695462369	16.89555023
Bcat1	10.34002572	15.98008613	45.50369065	12.04312927	9.86632718	19.10705835	36.24056161	17.41319626	21.61987824	13.52082562	17.0386315	1.153200225	2.450061626	24.65660126	4.630167618	6.612895455	14.40811112	21.35367026	46.71816062	18.51906028	54.78039117	13.40566306	13.51537855
Bcat2	0.374486551	0	0	0	12.08968282	1.808713616	0	7.643184229	0	3.681714365	0.688293973	0	0	9.24885104	0	0	5.67480472	0	0	0	3.171261481	0	6.369630798
Bccip	29.85657246	39.36556829	12.54081441	21.78756551	13.38708849	43.26082389	27.17918529	30.46828826	11.73393981	13.04581746	20.73070625	75.64281001	292.7746576	51.34351455	392.6515822	146.8046558	17.87391154	12.41727696	15.06992296	16.96107362	27.39036895	154.6320097	18.05616242
Bcdin3d	2.272847565	7.916983762	0	0	0	0	4.200286534	3.313449654	11.48467437	0	4.774193285	0	0	0	0	4.079415165	0	2.430699062	2.80948397	5.53358919	4.124386489	10.29572409	4.418148318
