Symbol	E3.5_WT_male_XK144	E3.5_WT_male_XK145	E3.5_WT_male_XK146	E3.5_WT_male_XK149	E3.5_WT_male_XK49	E3.5_WT_male_XK53	E3.5_WT_male_XK55	E3.5_WT_male_XK56	E3.5_Xist_female_XK147	E3.5_Xist_female_XK148	E3.5_Xist_female_XK50	E3.5_Xist_female_XK51	E3.5_Xist_female_XK52	E3.5_Xist_female_XK54
1700007L15Rik	16.50847466	20.63471723	16.50462213	30.45444267	19.89590929	10.02037495	6.204730041	7.11408863	6.341949834	16.3066124	16.26669014	16.76549283	15.6806347	10.97408079
1700008J07Rik	0.579503316	15.36976743	1.871804564	3.496022482	1.571430899	1.17249688	0.952905703	2.185125085	1.493435308	2.877310204	1.249097197	1.567269057	1.070306481	0.936316515
1700016D06Rik	3.905567877	25.93431058	6.60788014	8.73321094	4.370753876	4.233242894	4.281411109	3.506350096	2.625657615	2.052027335	2.405229124	6.03578519	9.274294635	2.884714824
1700016K19Rik	0	15.06267144	6.178377714	15.71871293	15.67601378	4.644157025	7.968126445	2.40419119	14.05971028	6.190839471	14.9526383	11.82440933	2.119694919	6.922845754
1700017B05Rik	0	0	2.421889002	0.27943974	2.323704872	3.612069839	2.896441927	3.14143101	2.048344397	0.787913617	3.406806699	1.434674229	2.110243503	0.461516369
1700019D03Rik	16.05377053	0	3.18401288	25.07329469	6.619019359	22.22401761	6.483719701	12.74394294	0	11.18723967	31.08225108	0	0	0
1700019G17Rik	0	0	5.497022149	0	1.165869416	1.413577691	1.060463699	0.945687651	0	0	0.617816633	6.810578412	0.992596614	0
1700020I14Rik	78.47425154	199.020449	35.1433623	168.0794257	33.9927748	28.53353286	22.69092608	25.73058847	32.52081454	28.94550811	55.95783413	58.70487172	32.76837607	15.8766398
1700021F05Rik	134.9713559	216.7076157	138.7720052	292.7424823	37.82944763	43.26487375	36.99000253	41.91806399	109.0278636	70.4206423	118.1744244	64.27448693	71.74152303	73.03018575
1700021K19Rik	0	0.072123029	1.73949721	3.397644847	1.668977455	1.134093932	2.457853478	1.077498825	4.935753321	2.958905895	0.18951927	2.242056727	0	2.301414472
1700025G04Rik	0.036122413	1.50127405	0.952853557	0.518293775	1.001293586	0.694314331	0.910767094	1.044248144	2.15323306	0.797122367	0.539832643	0.893195078	0.934021813	3.408445536
1700028K03Rik	0	0	0.058308084	0.918322769	0.652682984	0.328717232	0.474939373	0.272272989	0.631075672	0.159342793	1.431898777	0	0.800179945	0.140001338
