Symbol	X8cell_wt_male_IB105	X8cell_wt_male_IB106	X8cell_wt_male_IB11	X8cell_wt_male_IB112	X8cell_wt_male_IB16	X8cell_wt_female_IB10	X8cell_wt_female_IB107	X8cell_wt_female_IB109	X8cell_wt_female_IB110	X8cell_wt_female_IB111	X8cell_wt_female_IB12	X8cell_wt_female_IB13	X8cell_wt_female_IB14	X8cell_wt_female_IB15	X8cell_KO_male_IB113	X8cell_KO_male_IB117	X8cell_KO_male_IB17	X8cell_KO_male_IB19	X8cell_KO_male_IB20	X8cell_KO_male_IB21	X8cell_KO_female_IB114	X8cell_KO_female_IB115	X8cell_KO_female_IB116	X8cell_KO_female_IB18
B4galt4	0.99095024	4.486259029	0	0	0	0	0	0	0	0.76234446	0	0	0	0.330318332	0	0	0	0	0	0.297955784	0	0	0	0
B4galt5	0.542146897	0	0	0	0.106671893	0	0	0.412255272	0	0.973179972	0.285181845	0	0	0	0	0.888216884	1.091830254	1.045230125	0	0	0	0	0	0
B4galt6	0.196210877	0.592194431	0	2.940622103	0.617697847	3.146807743	0.905052712	3.282426445	0.721926872	1.106939557	0.412845894	3.058076263	1.050510528	1.438886674	2.358061454	1.71444618	0.355634379	0.61471157	0.79307552	2.005866248	3.252317033	0.148156552	0.848220205	2.021998618
B4galt7	9.282397302	12.21196937	0	3.057488932	3.652777119	1.526872128	5.489292137	7.60140861	3.940743675	2.929644542	3.755966403	0.85604911	0	0.476022659	2.340331668	8.188736361	3.163571321	6.022680163	3.527430298	2.146924512	0	0	0.617351247	0.432838271
B630005N14Rik	0.275197483	0.138431347	0	0	0.108294769	0	1.269390522	0.418527207	1.265681982	0.423422424	1.737123124	0	1.473403803	0.733863476	1.954326711	0	0	0.663207475	0.123592869	0.165491018	0.977479077	0.207798419	0.237935907	0.33364399
B930041F14Rik	0	0	0	1.139064504	0	0	0	0	0	0.818577152	0	0.637840513	0	2.128101299	0	0	0	0	0	0	0	0	0.459987204	1.612534736
B9d1	1.451710543	12.41420581	0	6.216245014	1.142544298	10.86510536	0	6.62339298	1.3353348	0	0	1.740451439	0	1.935623347	0	2.378384574	3.800681978	2.448967526	1.303944124	3.491965881	1.718785926	7.125103372	1.255149797	2.640037761
B9d2	0	2.245814728	0	2.389692623	0	0	0	0	0	0	0	5.352612653	0	4.464635634	0	1.828630647	0	2.420869676	3.50889959	0.67120304	3.964486637	0	2.895081068	5.412810035
BB287469	0.307831652	0	0	0	0	0	0	0	0	0	8.420182704	0.738116899	0	0.410444173	0	0	0	0	0	0	0	0	0.266151429	0
BB557941	1.036936102	0	6.875951778	0	2.856360746	3.326052661	0	3.153996657	5.722863427	0	18.54538316	13.67497559	9.252904382	5.53035242	10.19609466	0	0	1.499367873	10.71096959	8.729914702	2.455408466	4.697870355	0	4.400062934
BC002163	1.15812274	6.99078304	6.632333198	7.438646854	4.557404849	1.238256055	3.56134563	12.32911396	5.326411675	5.345708105	3.655196573	2.776939796	8.267432452	1.544171064	12.02036204	15.17912106	6.99703413	17.02508856	2.600599943	4.875089562	2.742371854	5.246910081	12.0157633	1.404085123
BC003331	9.490747984	4.066815797	5.19147663	7.525836422	8.437805942	6.764957201	3.783243168	5.345839491	16.8131914	10.81673201	14.79215886	7.164196315	4.391276583	8.436260917	17.4738027	7.486556007	10.76015218	6.099217616	11.68200404	6.552821539	0.83235469	18.04859384	10.33311168	10.44098833
BC003965	26.7651628	10.05026235	17.2708326	20.17760642	16.61470306	37.08132456	17.3885086	21.2125316	24.61954517	16.82050132	15.86377077	34.80039273	18.83760328	35.4357377	23.27015855	18.94000815	16.85398734	24.61987178	19.13105583	38.31141694	21.42370284	23.34119973	31.2894769	26.73660471
BC004004	13.79357579	5.918149544	15.1627432	6.948739532	10.69635411	7.807757652	6.861517462	7.403863993	8.209765749	13.73251324	11.09701544	8.754923045	7.964283451	7.572979916	17.72953289	11.74233893	11.84688299	7.039396052	16.21574515	13.1741219	1.921319974	9.496365559	6.313729664	5.16447401
BC005537	8.041030959	3.370702916	0.942530505	5.738634656	3.34007217	9.552677053	8.929191161	4.755722517	10.68372531	8.477134923	30.54833043	5.355760014	0	3.871626079	5.612759368	10.24635298	5.30798136	3.660354106	9.228816606	7.790533446	7.404726511	9.950823588	9.269706847	5.957592072
BC005561	5.058991287	1.880940274	0.265188223	9.889480704	2.163909656	4.468333373	3.043744152	5.017721954	8.699908543	8.57349364	6.710717969	3.164457162	2.355284752	4.39914397	1.081403979	1.081083897	0	0	1.284187395	1.719528653	8.073085411	0.083043163	4.75435529	2.93337529
BC005624	27.4600669	33.6694641	27.41672804	14.69804921	35.45715881	16.51505365	35.62418325	13.05061117	19.73339265	25.08618442	37.01437011	17.48970215	19.90907303	12.01383693	25.31364765	42.17692523	33.00829775	28.33199361	25.8211375	25.2858561	24.38398106	19.76283451	38.58073396	23.92865551
BC006965	0	0	0.1759657	0	0	1.248405695	0	0	0.537007079	0.598836154	0	0.699925399	0	0.389207051	0.318918147	0	0.117573114	1.266243821	1.310958168	0.351074951	0.691212578	0	0	1.061695513
BC016579	0	0	0	0	0	0.55585947	0	0	1.912842733	0	0	0	0	0	0	0	0	0	0	0.625272175	0.615532369	0	0	0
BC017158	2.201686199	0	0.796333182	0	0	0.470805239	0	0.669675874	0.405037797	0	0	1.055838006	0	0.293559569	2.645985495	0.961891752	0.266038701	0.424473285	0	0.264798417	0	0	1.522863354	1.601568502
BC017643	5.279966532	0	0	1.884074261	6.925847677	1.411325048	4.735627162	3.345793751	0	4.964559805	4.166077329	3.165068061	7.06721832	2.639995936	4.086092588	12.25464947	2.658332658	6.362182596	2.173659751	4.762690917	1.041889538	1.827302275	1.521687398	6.668049042
BC018473	1.396987774	0.175680113	0.21053328	1.495480336	0.137434458	1.120236554	1.073969997	2.655717381	0.642499429	0.358237258	3.3068159	1.256133355	1.246575779	0.465664826	0.381568019	0.57218262	0.281339527	0.420830854	0.784244666	1.260125598	1.653995651	0.263712306	1.509795572	1.905390416
BC021614	0	7.643256124	3.56206714	7.22926272	1.993105054	1.80510216	0	5.135173816	0	0	8.880773895	10.12040281	0	3.376587394	6.455848246	2.765973171	4.760056404	3.254924035	3.791096806	0	3.997768747	5.736621689	4.379078179	1.023422045
BC021767	9.206763904	1.029163751	1.079172046	1.095097023	1.811507062	0	0.786437186	0.77788203	0.94096752	0.786980367	3.766755534	1.226440197	2.738494232	3.750921814	0	7.541870293	1.442117627	2.835092888	0	1.230338068	5.450279429	2.703524584	2.653391177	2.480466358
BC021785	0.190535492	0	0.114858735	0	0	1.426033725	0	0.289771136	0	0.195440256	0.801808711	0.228432433	1.020124586	0.254048542	0.104084304	0	0	0.137753327	0.171141304	0.343737655	0	0.215806701	0.658948397	0.346502197
BC021891	0	0	0	0	0.078785776	0.214062537	0.307832405	0.60896738	0.368319683	1.334861757	0.631889218	0	0	0	0	1.20270267	0	0.627239072	0	0.240793501	0	0	0.865506492	1.092285475
BC022687	1.785262835	6.884917396	0	2.548173544	1.639237838	3.181315817	4.574887859	0.905024106	1.642148017	3.35723496	8.13877712	10.70173143	1.062030487	3.173815827	0	5.524724479	10.78602859	0	1.87080234	5.010013712	4.227405594	2.696062413	0	5.050307222
BC023829	6.875371201	6.628766623	7.253077887	6.133424254	5.18568057	7.963686001	3.523744696	4.356765116	3.162105031	7.933901622	4.822139671	8.929767187	0	1.145900699	3.442840855	2.816036034	2.884649566	4.280372387	1.80119984	9.991780201	0	0	5.449079182	3.473151738
BC024978	0	0	3.733533105	0	0	2.091150958	4.009569909	0	4.197748698	1.337446421	2.057616377	1.563220114	2.326988997	0.869258769	1.068412283	0	1.969416929	1.571133955	4.391859858	1.176141254	2.315641222	0	1.69100559	1.185600482
BC025920	1.205918282	0	0	1.290939771	0	0	0.92708045	1.833990649	1.109246368	0.309240257	0	2.168657745	1.07607851	0	0	0	0	0.145309109	0	0	1.427774552	0	0	2.924062987
BC026585	0.884090595	0	3.997110694	0	5.566468731	11.34315554	0	0	4.066089285	3.627395415	5.580625954	1.059933576	6.311212981	8.840948375	5.79545282	2.414057267	9.080402399	7.03097681	3.17640384	2.126604512	0	13.35133054	0.764385252	1.607780948
BC027231	15.10974372	19.40149627	10.42679657	11.06712847	28.00848082	22.10714788	7.947790178	16.93209789	14.99572593	15.70262897	17.56943056	32.89307474	28.38504373	24.12268908	15.4220181	14.76601169	24.10339098	20.41070757	21.25051297	13.62944987	9.415540489	8.106530998	17.1893334	17.8366822
BC028528	15.29654734	11.54182972	34.57903144	5.458335946	28.09074237	24.53242869	3.919870358	3.877228553	11.72525523	6.537629599	5.364225843	24.45197995	18.19944862	18.6958698	27.8536118	12.53041537	23.10430062	24.57576872	12.59458335	13.79795243	3.018449557	24.06301044	15.42963788	9.272615848
BC029214	0	0	0	0	0	1.249686111	0	0	0	5.395053103	0	1.401286543	0	0.779212476	0	0	7.297009542	0	2.624605481	0	0	0	0	2.834091818
BC029722	0	0	0.988446174	1.755306596	0	0	0	0	0	0	0	0	0	0	0.447862031	0	2.806867792	2.766100011	0.368200049	2.465101813	0.97068126	0	1.41768718	1.987942103
BC030307	0	0	0.819284545	0	0	0.484374462	0	0	0.208355758	0	0	0	0.808502637	0.15101017	0	0	0	0	0.305186684	0.136215127	0	0	0	0.13731065
BC030336	0.235355799	1.065509683	0	0	0.092616406	2.013125086	1.809357755	1.073804934	0.64946581	1.810607454	0.49521044	0.282167365	0.420030645	1.098332331	0.257136813	1.799424925	0.663576636	0.283595844	0	0	1.393274424	0.26657164	0.406977526	1.426703595
BC030867	76.63010805	78.89715818	110.0827024	67.16135736	81.64833621	117.8675634	106.7983554	48.38836122	67.18944722	46.19633556	71.18937312	88.11078185	80.77570849	96.49763621	90.33146464	77.82358646	108.4790676	116.2038599	138.6664842	109.6800668	99.74771018	80.02621094	75.16585235	79.0505998
BC030870	0.770515738	0	0	6.598718507	0.303210708	3.295318345	3.554121805	1.171819583	0.708747679	0	1.621236614	0	0	0	0	0	0	0.185689125	0	0	0	0	0.666188364	0
