Symbol	X8cell_WT_male_XK113	X8cell_WT_male_XK114	X8cell_WT_male_XK120	X8cell_WT_male_XK18	X8cell_WT_male_XK21	X8cell_WT_male_XK23	X8cell_Xist_female_XK112	X8cell_Xist_female_XK115	X8cell_Xist_female_XK116	X8cell_Xist_female_XK117	X8cell_Xist_female_XK121	X8cell_Xist_female_XK14	X8cell_Xist_female_XK16	X8cell_Xist_female_XK17	X8cell_Xist_female_XK19	X8cell_Xist_female_XK20	X8cell_Xist_female_XK22	X8cell_Xist_female_XK24
1110034G24Rik	15.95295636	7.04820877	0.816115282	0	0.24426699	9.59098176	12.20852751	27.18001185	19.95199876	10.26319406	6.338003244	20.4474919	10.9769767	0	0	8.159778615	6.589352625	7.122433447
1110037F02Rik	3.29821487	2.671517126	5.905508825	7.05497383	8.00445588	6.909167515	12.0594361	2.913745941	7.734379001	6.79000802	8.535039669	0.570575198	6.808348303	11.12833839	1.691545813	16.40142898	18.32945482	2.208805257
1110038B12Rik	77.78630049	249.3697746	128.4072182	113.4322334	40.56801924	117.8938153	65.49752562	95.53595563	93.42972256	377.6425601	109.0908414	57.64579612	39.48991551	86.15049081	229.4842465	6.038123293	42.88689834	62.25780747
1110038F14Rik	97.30460852	64.9380567	48.41635702	96.66760891	33.4286428	44.45224446	47.55345178	63.79279897	33.62670736	50.73899878	40.41817537	56.49198426	35.06262726	57.29518621	45.18665342	33.20933221	23.96109925	72.02405775
1110046J04Rik	0	0	4.635156678	1.800766418	3.00586721	0.567420132	0	0	4.721587867	2.590674982	0.324296594	0.237489326	0.989589552	0.946461476	6.851128962	0.572145209	1.134074846	0
1110051M20Rik	0	1.746322234	4.24635627	1.237287588	3.086601623	0.556954829	0	0	0	0	3.310479932	0	0	1.486408421	0.935620046	0	0	0
1110057K04Rik	17.76634129	16.25943856	34.27790104	34.21945533	49.31569818	48.13690834	23.73953705	22.10160168	29.75887226	24.49246992	18.31381361	90.40853379	27.81751644	34.12144095	25.307695	28.99283657	23.82587485	47.59227592
1110058L19Rik	0	7.7720503	3.59971688	23.33740631	3.232234559	0.991496498	10.96930333	0	11.00052106	15.08961365	1.511115162	0	2.305580456	13.59811142	58.29600223	0	15.85324418	0
1110059E24Rik	44.60475962	26.62163074	32.78691709	80.59091766	76.8706335	27.16941104	35.39953681	46.66409597	10.27639712	48.63230315	30.17389042	67.97084201	35.80713373	75.35967523	50.40661187	100.087549	15.83813351	25.67916569
1110059G10Rik	17.95394136	14.90972617	11.78717171	7.337346268	9.354422765	10.36297232	5.145374977	9.252292043	20.73930428	14.97288352	7.871983813	6.698174097	8.579043612	3.209126741	8.745618603	7.274806757	9.613148578	17.14491157
1190002N15Rik	0	0.874929544	0	0	2.865437308	0	0.168389536	0	0	0	1.531008324	0	4.525869028	0	4.804764234	4.895752404	0	0
1190007I07Rik	0	13.86084907	3.209907967	7.482328913	5.284069733	0.884128562	0.889222815	0	4.904644081	6.727788973	3.70556549	0.986787198	7.195691945	13.1087445	2.16596666	0.297163655	0.392680996	14.00681765
1200014J11Rik	6.046127422	29.69803816	25.21749467	24.26994116	24.38710859	18.52224012	4.868933578	11.5467152	42.03445443	14.57502036	16.32005578	6.137269902	8.90169975	12.75599328	43.12966094	11.4959396	17.060752	4.168165022
