Symbol	E4.5_WT_male_XK164	E4.5_WT_male_XK165	E4.5_WT_male_XK166	E4.5_WT_male_XK167	E4.5_WT_male_XK169	E4.5_WT_male_XK173	E4.5_WT_male_XK73	E4.5_WT_male_XK75	E4.5_WT_male_XK76	E4.5_WT_male_XK82	E4.5_WT_male_XK83	E4.5_WT_male_XK84	E4.5_Xist_female_XK162	E4.5_Xist_female_XK170	E4.5_Xist_female_XK171	E4.5_Xist_female_XK172	E4.5_Xist_female_XK74	E4.5_Xist_female_XK77	E4.5_Xist_female_XK78	E4.5_Xist_female_XK79	E4.5_Xist_female_XK80	E4.5_Xist_female_XK81
1700001L05Rik	4.262624101	0.087767022	1.049881506	1.370570719	0.210266062	1.458740393	0.794736805	0.2640243	0	0	0.73779377	1.432230267	1.145484885	0.297014639	0.086062052	0.442895265	0.647300935	0	1.221064156	0.852714653	1.451217696	0.576640309
1700001L19Rik	13.21635714	10.10213956	7.450175863	2.6253625	14.89353595	4.843373108	1.319359801	14.02599889	10.31271866	3.074105974	15.08987398	1.610684094	0.438840991	4.085523657	6.286433063	0.980346709	5.193891865	0	15.40607461	4.118138425	0.566870108	7.384832321
1700003M07Rik	0.975296626	0.075862553	0.42704874	0.729027947	0.908730865	0	0	1.141063985	0.236887249	2.400856847	0.382632916	0.41931128	0.68546394	0.77018526	0.892666089	0.638037023	0.979130043	0	1.266530994	0.603044892	0.221360941	0.427222681
1700007J10Rik	7.451523727	6.323017491	9.899525996	8.4498916	6.438002376	65.68270761	19.32369278	27.10514817	21.22496955	90.04833916	8.451331341	13.35547135	7.855688227	7.33641816	21.85565567	17.28328012	12.53278901	84.96448878	54.10116531	12.14684034	11.53129113	24.92580934
1700007K13Rik	0	3.931831586	15.37030211	22.95922319	3.663180017	7.261043598	17.80151134	0.657105255	5.456656525	20.73874478	2.423817711	12.41840871	20.39482574	4.118465776	16.70695643	10.655377	9.263286983	14.6759246	12.7637654	13.312241	11.47277413	10.45606257
1700007L15Rik	0	2.115925432	3.474058647	13.97944027	0	27.35284697	3.193309933	5.657966532	1.468256977	7.440406426	3.557410442	13.18035926	4.956690385	17.38992593	4.149642562	5.931950638	5.635287559	0	13.73770734	1.868874064	10.29017225	8.605934795
1700007P06Rik	2.057544067	0.213392237	1.651700509	0.76900047	0	0	0	0.641935146	1.999006005	0	0.861040292	0.505488082	0.642709203	1.237964851	2.510962328	1.435777117	2.360721454	0	1.781299667	1.696292741	2.490646795	1.802589015
1700008J07Rik	2.011482453	4.260562022	3.60772338	1.99512197	0.173002628	2.400443689	4.904199259	1.303402858	2.705891352	2.285355099	0.72845	2.622912256	2.609949049	1.152065768	3.611315166	1.214683971	1.464611522	0	3.014000053	1.530755401	2.739250623	1.830013273
1700016D06Rik	5.809887561	3.05912893	6.45771743	4.175820709	1.998776202	16.1778121	18.88679746	10.87579434	5.210394116	13.20186128	7.574495772	5.050611723	3.97863967	4.235104219	8.999106079	8.654166465	6.922353053	9.342393807	15.0895686	5.526717838	5.274629861	4.306898484
1700016K19Rik	18.38608867	10.10635828	11.80759626	11.9110185	13.70496386	22.18520813	15.54008156	15.48799226	8.931498057	24.13890814	8.271268969	19.72428035	7.179012948	1.106237863	14.02362918	9.622512761	10.54763169	6.405778164	11.14230986	13.64217191	14.46657441	8.590840447
1700017B05Rik	4.576026934	4.022145242	4.132598862	6.670073795	5.372268059	2.957984927	4.834622051	4.283037089	3.000939903	3.379398217	3.411047588	5.789720206	3.805778968	1.135721098	2.512997968	3.41273512	4.397126797	2.391455894	2.674115653	0.848833964	4.985331931	4.209450879
1700019A02Rik	0	1.400492909	4.927321731	4.710485599	0	0	7.608939457	0	0	0	3.955704242	9.067881106	0.843619895	0	1.647944175	8.009552488	3.098682228	9.409444481	0	0.742184437	4.903833283	3.154770355
1700019D03Rik	0.902402753	4.000976506	7.112358504	29.97488222	6.053847346	24.49949243	31.46214355	6.968152127	7.890560874	26.65699569	16.78125199	17.79128138	40.59086227	22.29487118	12.3892206	44.27625027	23.2958484	28.29602729	7.031221227	6.695678302	13.51788096	13.04463498
