Symbol	E3_WT_male_XK136	E3_WT_male_XK138	E3_WT_male_XK139	E3_WT_male_XK37	E3_WT_male_XK43	E3_WT_male_XK45	E3_Xist_female_XK135	E3_Xist_female_XK140	E3_Xist_female_XK38	E3_Xist_female_XK39	E3_Xist_female_XK40	E3_Xist_female_XK41	E3_Xist_female_XK42	E3_Xist_female_XK47
1700001L05Rik	0.731513737	0	0.536839441	0.111070583	0.81585249	0	0	0.678658017	0.081810404	0	0.398379609	1.069484535	0	0.163813722
1700007J10Rik	14.66602046	6.477505207	49.31143276	29.40691161	27.51354206	8.421567136	2.004882568	12.66765362	39.78371453	119.4890946	42.43580369	19.90434899	18.38490579	7.080999256
1700007K13Rik	5.318056024	0	1.145219319	6.634395127	0	0.750791293	0	2.533572186	10.38412129	10.82720693	2.124620462	1.182995331	0	7.093989895
1700007L15Rik	4.950358023	32.22366725	4.314119364	13.83497859	3.391194083	0.202020147	1.098567726	10.65968816	15.12112535	48.69447797	7.317568307	10.50442842	4.882776423	6.055581459
1700008J07Rik	3.468698259	0.204075212	0.946501164	2.878678231	1.597152016	3.909239366	0.289225831	3.807177103	3.230972722	0	1.264288953	0	0.899860359	0.970434643
1700016D06Rik	3.476862204	1.178885787	7.290232247	3.16749031	4.813723478	0.7169076	1.02103054	2.639160489	5.44379252	13.29244474	5.409959942	2.447479652	1.155165159	0.934321873
1700016H13Rik	2.687440002	0	2.433288406	0.352408409	0.892608168	0	0	0	0	13.80297204	2.166843363	0.251355245	4.626766159	2.910620043
1700016K19Rik	7.40286133	1.347206613	9.497486603	2.533820289	5.134289935	8.192673714	8.401052585	6.031957469	3.199399699	10.46445267	2.967548059	4.389028281	0.792059498	1.921903137
1700017B05Rik	1.569216588	19.86651925	0.559843737	3.378378143	0.444965353	1.773961266	3.777873198	0	2.786992279	0.063010846	2.284978926	0	0	0.438472294
1700018B24Rik	0.171453887	0	0.546442927	0.296775984	1.102490278	0	0	0	0.728646667	1.107046338	0.608259294	0.423350851	0	0.175081384
1700019D03Rik	0.138561055	0	2.20804876	15.18990107	2.024957618	0	3.935875737	5.995071398	17.0768918	39.51429784	1.228917159	1.710662313	13.99495055	18.15822072
1700019G17Rik	0.669810397	0	0.140444834	0.406807023	0	1.289033982	0	0	2.996387149	0	0.41688709	0	0	1.679955193
