Symbol	X4cell_WT_male_XK10	X4cell_WT_male_XK102	X4cell_WT_male_XK103	X4cell_WT_male_XK105	X4cell_WT_male_XK107	X4cell_WT_male_XK4	X4cell_WT_male_XK5	X4cell_WT_male_XK8	X4cell_WT_male_XK9	X4cell_Xist_female_XK100	X4cell_Xist_female_XK101	X4cell_Xist_female_XK104	X4cell_Xist_female_XK106	X4cell_Xist_female_XK108	X4cell_Xist_female_XK11	X4cell_Xist_female_XK3	X4cell_Xist_female_XK97	X4cell_Xist_female_XK98	X4cell_Xist_female_XK99
1110001J03Rik	0	27.68557533	51.48711202	6.9356752	24.13465666	11.38929058	27.4900174	24.78235696	9.099719695	8.340316055	54.16317481	11.27596087	33.4674239	14.75142193	26.86147855	32.95392024	46.67758347	36.10217333	115.2850365
1110002L01Rik	7.93205535	3.699799613	2.75222017	2.780575239	2.150178503	2.417331246	0	2.591862313	0	1.114569509	3.015904052	0	3.727054025	2.299880783	2.393113543	1.048533826	0	6.030703954	4.668567594
1110004E09Rik	125.2156776	128.31062	44.90402212	40.32591204	70.16274649	139.2153697	60.39781099	45.55630734	238.087163	69.57673806	116.3832965	128.2725385	136.423637	101.6173833	152.784764	77.75198378	129.7981986	111.2283747	333.8246613
1110004F10Rik	0	45.54277142	6.487376115	8.010704856	38.01208424	24.2692383	154.849651	30.71665396	31.38720816	21.01759646	54.02776687	22.19954796	29.86967583	57.3092742	0	5.931705643	0	31.27350764	72.629573
1110008F13Rik	18.60920833	83.33358175	54.06146763	30.10083037	94.60785411	39.39354623	0.679165136	13.12387425	18.34503491	53.71163539	68.24560026	50.91096332	72.62430987	26.84758791	30.08485597	17.35573133	29.40687759	41.69801019	35.21433842
1110008L16Rik	18.45139148	12.62149585	16.75437206	16.02748427	12.52028868	13.36499042	53.6501237	21.41868893	33.15179401	3.540018653	17.24203087	20.34068302	18.9401783	10.43531773	20.26891163	16.87342211	14.30876837	22.98516618	16.80504601
1110008P14Rik	92.02796225	29.94003238	114.0474796	31.03635478	86.39986677	26.98188098	0	7.955741751	50.69665754	20.52707924	75.74188258	56.76596739	61.77719686	44.5573772	30.05051253	37.91957945	62.66305726	84.8153798	279.0481726
1110012L19Rik	0	3.208593168	0	0	6.712950859	8.944608416	0	35.51448044	0	4.639646017	9.415783701	0	0	35.90163947	18.67851157	11.34836988	0	3.765624039	0
1110020A21Rik	0.30219098	5.559808161	3.722264984	0.835692012	5.816056605	1.69521408	0	0.584231259	8.05884602	2.009879443	1.631554651	5.09497822	0	1.777425429	3.236587989	0	8.436399308	4.893767962	1.262809267
1110032A03Rik	0.620661608	1.522551281	3.822528014	1.144269646	0	0.331595507	0	1.733241258	11.48494925	0	2.234003001	4.185773353	1.38039038	7.301208834	2.215845873	0.12944862	7.701015455	0	0
1110034G24Rik	3.258156993	12.45003949	27.78413972	2.079288078	55.47197428	9.03828814	0	0	14.86792747	9.16811085	0	17.74756519	5.852817674	14.74139377	56.37075749	0	0	0	0
1110037F02Rik	10.05236276	4.957332814	7.339898486	6.161686991	4.986359142	3.529639596	0	5.409579107	6.034975028	2.757051772	1.119042403	3.494517739	6.741698568	8.990799888	2.219894502	8.494376629	2.410964431	5.594187785	1.515726092
1110038B12Rik	15.64825956	71.39964165	73.24456904	65.77704867	36.14052152	34.10986176	52.66700778	46.79140225	72.90126881	47.87539657	121.6602382	107.643309	125.2897618	108.6070309	73.74365163	16.84062817	11.64958365	165.5627894	0
1110038F14Rik	197.0085758	140.5087357	56.19221291	72.89133991	120.3193378	109.1356494	40.85262332	44.86067828	104.4624467	87.65358743	65.68091684	75.20580134	121.752709	55.65247724	101.3399136	155.4059758	132.0748856	94.8550686	158.1578903
1110046J04Rik	3.795860954	4.364842958	2.922241493	0	4.566016125	6.083945364	18.35581448	7.950156815	2.582352887	0	2.561771782	11.19977194	6.331674792	1.395404777	5.081901346	3.562585972	4.415447085	5.122605675	3.965578651
